call_index,case_id,condition,expected_misaligned,prediction,correct,description_grounded,error,description,response,order_id,regime,mismatch_kind,color,part_type,part,semantic_multiplicity,observed_slot,planned_wrong_slot,last_action,latency_s,observation_left,observation_right,input_pddl
11,gate_08,negative,False,False,True,False,,,"{""misaligned"":false,""description"":""""}",priority3,other,within_bin,orange,battery,orange_battery_1,1,bin5_8,bin5_1,"move_floor(floor, floor_init, gripper_station1)",14.889454,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_priority3_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_left.png,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_priority3_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_right.png,internal://competition_tutorials/experiment_results/doremi_positive_control/gate_v2_heldout/inputs/gate_08_negative.pddl
12,gate_10,positive,True,True,True,True,,"Planned EXPECT blue sensor @ bin5_4, but the bin5_4 cell is visibly empty. In the active-bin mosaic, a blue sensor is clearly visible at bin5_9 instead, contradicting the plan location.","{""misaligned"":true,""description"":""Planned EXPECT blue sensor @ bin5_4, but the bin5_4 cell is visibly empty. In the active-bin mosaic, a blue sensor is clearly visible at bin5_9 instead, contradicting the plan location.""}",priority8,other,within_bin,blue,sensor,blue_sensor_1,1,bin5_9,bin5_4,"move_floor(floor, floor_init, gripper_station1)",15.008185,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_priority8_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_left.png,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_priority8_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_right.png,internal://competition_tutorials/experiment_results/doremi_positive_control/gate_v2_heldout/inputs/gate_10_positive.pddl
13,gate_05,positive,True,True,True,True,,"Mismatch: the plan expects an orange pump at bin2_9, but the bin2_9 cell is empty. An orange pump is visible instead at bin1_1 (conflicts with the planned location bin2_9).","{""misaligned"":true,""description"":""Mismatch: the plan expects an orange pump at bin2_9, but the bin2_9 cell is empty. An orange pump is visible instead at bin1_1 (conflicts with the planned location bin2_9).""}",normal9,other,cross_bin,orange,pump,orange_pump_1,1,bin1_1,bin2_9,"move_floor(floor, floor_init, gripper_station1)",6.208747,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_normal9_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_left.png,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_normal9_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_right.png,internal://competition_tutorials/experiment_results/doremi_positive_control/gate_v2_heldout/inputs/gate_05_positive.pddl
14,gate_07,negative,False,False,True,False,,,"{""misaligned"":false,""description"":""""}",priority2,other,cross_bin,orange,sensor,orange_sensor_1,1,bin1_7,bin2_3,"move_floor(floor, floor_init, gripper_station1)",5.273682,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_priority2_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_left.png,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_priority2_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_right.png,internal://competition_tutorials/experiment_results/doremi_positive_control/gate_v2_heldout/inputs/gate_07_negative.pddl
15,gate_03,negative,False,False,True,False,,,"{""misaligned"":false,""description"":""""}",normal4,other,cross_bin,green,sensor,green_sensor_1,1,bin6_3,bin1_7,"move_floor(floor, floor_init, gripper_station1)",4.605889,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_normal4_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_left.png,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_normal4_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_right.png,internal://competition_tutorials/experiment_results/doremi_positive_control/gate_v2_heldout/inputs/gate_03_negative.pddl
16,gate_09,negative,False,False,True,False,,,"{""misaligned"": false, ""description"": """"}",priority6,other,cross_bin,orange,regulator,orange_regulator_1,1,bin5_7,bin1_3,"move_floor(floor, floor_init, gripper_station1)",5.044031,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_priority6_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_left.png,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_priority6_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_right.png,internal://competition_tutorials/experiment_results/doremi_positive_control/gate_v2_heldout/inputs/gate_09_negative.pddl
17,gate_04,negative,False,False,True,False,,,"{""misaligned"": false, ""description"": """"}",normal6,other,within_bin,purple,battery,purple_battery_1,1,bin1_8,bin1_1,"move_floor(floor, floor_init, gripper_station1)",5.245222,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_normal6_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_left.png,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_normal6_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_right.png,internal://competition_tutorials/experiment_results/doremi_positive_control/gate_v2_heldout/inputs/gate_04_negative.pddl
18,gate_01,negative,False,False,True,False,,,"{""misaligned"":false,""description"":""""}",normal1,other,cross_bin,purple,sensor,purple_sensor_1,1,bin1_2,bin2_7,"move_floor(floor, floor_init, gripper_station1)",4.869784,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_normal1_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_left.png,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_normal1_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_right.png,internal://competition_tutorials/experiment_results/doremi_positive_control/gate_v2_heldout/inputs/gate_01_negative.pddl
19,gate_09,positive,True,True,True,True,,"Planned EXPECT orange regulator @ bin1_3, but the bin1_3 cell is visibly empty in the checklist crop and in the active-bin mosaic. The only orange regulator (orange body with black knob) is instead visible at bin5_7, contradicting the planned location bin1_3.","{""misaligned"":true,""description"":""Planned EXPECT orange regulator @ bin1_3, but the bin1_3 cell is visibly empty in the checklist crop and in the active-bin mosaic. The only orange regulator (orange body with black knob) is instead visible at bin5_7, contradicting the planned location bin1_3.""}",priority6,other,cross_bin,orange,regulator,orange_regulator_1,1,bin5_7,bin1_3,"move_floor(floor, floor_init, gripper_station1)",6.270727,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_priority6_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_left.png,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_priority6_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_right.png,internal://competition_tutorials/experiment_results/doremi_positive_control/gate_v2_heldout/inputs/gate_09_positive.pddl
20,gate_04,positive,True,True,True,True,,"Planned purple battery at bin1_1 is not there (cell is empty), while a purple battery is visible at bin1_8. This contradicts the plan assumption that the purple battery is on bin1_1.","{""misaligned"":true,""description"":""Planned purple battery at bin1_1 is not there (cell is empty), while a purple battery is visible at bin1_8. This contradicts the plan assumption that the purple battery is on bin1_1.""}",normal6,other,within_bin,purple,battery,purple_battery_1,1,bin1_8,bin1_1,"move_floor(floor, floor_init, gripper_station1)",5.462324,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_normal6_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_left.png,internal://competition_tutorials/experiment_results/faithful_baseline_runs/formal_100_fixed_20260717_192541/v_doremi/gpt-5p2-2025-12-11_normal6_eps_0p0_seed_0/faithful_baseline_artifacts/observations/0001_doremi_detect_right.png,internal://competition_tutorials/experiment_results/doremi_positive_control/gate_v2_heldout/inputs/gate_04_positive.pddl
